"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 08:31:02 GMT 2022","Wed Aug 10 08:31:18 GMT 2022","16090","tests","test_signup","SignUpTest","","","test_Signup_Verify_Signup_page",""
"passed","Wed Aug 10 08:31:02 GMT 2022","Wed Aug 10 08:31:14 GMT 2022","12138","tests","test_signup","SignUpTest","","","test_VerifyErrorSigup_with_existing_email",""
"passed","Wed Aug 10 08:31:02 GMT 2022","Wed Aug 10 08:31:13 GMT 2022","11490","tests","test_signup","SignUpTest","","","test_VerifyErrorSigup_with_existing_username",""
"failed","Wed Aug 10 08:31:02 GMT 2022","Wed Aug 10 08:31:28 GMT 2022","26235","tests","test_signup","SignUpTest","","","test_Signup_CreateAccount_Individual",""
