"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 12:37:56 GMT 2022","Wed Aug 10 12:38:27 GMT 2022","31060","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Admin",""
"passed","Wed Aug 10 12:38:58 GMT 2022","Wed Aug 10 12:39:55 GMT 2022","57005","tests","test_suite_demo","SubmitOffer","","","test_submit_the_offer",""
"passed","Wed Aug 10 12:39:52 GMT 2022","Wed Aug 10 12:41:00 GMT 2022","68305","tests","test_suite_demo","ViewOffersAndAcceptOffer","","","test_view_the_offers_and_accept_the_offer",""
"passed","Wed Aug 10 12:38:38 GMT 2022","Wed Aug 10 12:39:15 GMT 2022","36422","tests","test_suite_demo","SignUpTest","","","test_Signup_Verify_Signup_page",""
"passed","Wed Aug 10 12:38:53 GMT 2022","Wed Aug 10 12:40:43 GMT 2022","110610","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditListingAndPackages",""
"passed","Wed Aug 10 12:37:56 GMT 2022","Wed Aug 10 12:38:36 GMT 2022","40057","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_Admin_Page",""
"passed","Wed Aug 10 12:38:28 GMT 2022","Wed Aug 10 12:38:52 GMT 2022","24552","tests","test_suite_demo","SignUpTest","","","test_Signup_CreateAccount_Individual",""
"passed","Wed Aug 10 12:37:56 GMT 2022","Wed Aug 10 12:38:47 GMT 2022","51473","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_CountrySettings_Pagination",""
"passed","Wed Aug 10 12:39:19 GMT 2022","Wed Aug 10 12:39:31 GMT 2022","12026","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_email",""
"passed","Wed Aug 10 12:37:55 GMT 2022","Wed Aug 10 12:38:33 GMT 2022","38215","tests","test_suite_demo","LoginTest","","","test_Login_Verify_LoginPage",""
"passed","Wed Aug 10 12:37:56 GMT 2022","Wed Aug 10 12:38:22 GMT 2022","26220","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_InvalidCredentials_VerifyErrorMessage",""
"failed","Wed Aug 10 12:37:55 GMT 2022","Wed Aug 10 12:39:30 GMT 2022","94487","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Google",""
"passed","Wed Aug 10 12:37:56 GMT 2022","Wed Aug 10 12:38:28 GMT 2022","31425","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_BusinessAccount",""
"passed","Wed Aug 10 12:38:38 GMT 2022","Wed Aug 10 12:40:04 GMT 2022","85730","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditSkills",""
"passed","Wed Aug 10 12:39:07 GMT 2022","Wed Aug 10 12:39:22 GMT 2022","15002","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_username",""
"failed","Wed Aug 10 12:38:37 GMT 2022","Wed Aug 10 12:39:11 GMT 2022","33668","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServiceLocation",""
"passed","Wed Aug 10 12:37:55 GMT 2022","Wed Aug 10 12:39:02 GMT 2022","66424","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_with_flexible_date",""
"failed","Wed Aug 10 12:38:33 GMT 2022","Wed Aug 10 12:39:48 GMT 2022","75644","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditProfile",""
"passed","Wed Aug 10 12:38:41 GMT 2022","Wed Aug 10 12:39:30 GMT 2022","49636","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_with_preferred_date",""
"passed","Wed Aug 10 12:37:55 GMT 2022","Wed Aug 10 12:39:15 GMT 2022","79944","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_and_choose_flyers",""
"passed","Wed Aug 10 12:37:55 GMT 2022","Wed Aug 10 12:38:29 GMT 2022","33205","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_IndividualAccount",""
"passed","Wed Aug 10 12:39:33 GMT 2022","Wed Aug 10 12:42:10 GMT 2022","157031","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServices",""
