"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 10 10:36:26 GMT 2022","Wed Aug 10 10:37:23 GMT 2022","57662","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_CountrySettings_Pagination",""
"broken","Wed Aug 10 10:36:27 GMT 2022","Wed Aug 10 10:37:23 GMT 2022","56332","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_InvalidCredentials_VerifyErrorMessage",""
"passed","Wed Aug 10 10:36:27 GMT 2022","Wed Aug 10 10:38:36 GMT 2022","128897","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditSkills",""
"failed","Wed Aug 10 10:36:26 GMT 2022","Wed Aug 10 10:38:01 GMT 2022","94055","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServiceLocation",""
"passed","Wed Aug 10 10:36:26 GMT 2022","Wed Aug 10 10:37:30 GMT 2022","64031","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_IndividualAccount",""
"broken","Wed Aug 10 10:36:27 GMT 2022","Wed Aug 10 10:37:18 GMT 2022","51533","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditListingAndPackages",""
"broken","Wed Aug 10 10:36:27 GMT 2022","Wed Aug 10 10:37:20 GMT 2022","53328","tests","test_suite_demo","SignUpTest","","","test_Signup_Verify_Signup_page",""
"broken","Wed Aug 10 10:36:24 GMT 2022","Wed Aug 10 10:37:23 GMT 2022","59567","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Admin",""
"broken","Wed Aug 10 10:36:24 GMT 2022","Wed Aug 10 10:37:23 GMT 2022","58737","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_with_preferred_date",""
"broken","Wed Aug 10 10:36:24 GMT 2022","Wed Aug 10 10:37:19 GMT 2022","54676","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_with_flexible_date",""
"passed","Wed Aug 10 10:36:22 GMT 2022","Wed Aug 10 10:37:33 GMT 2022","71081","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_username",""
"broken","Wed Aug 10 10:36:24 GMT 2022","Wed Aug 10 10:37:23 GMT 2022","59512","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_and_choose_flyers",""
"passed","Wed Aug 10 10:36:27 GMT 2022","Wed Aug 10 10:37:33 GMT 2022","65789","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_BusinessAccount",""
"failed","Wed Aug 10 10:36:24 GMT 2022","Wed Aug 10 10:38:38 GMT 2022","133054","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Google",""
"broken","Wed Aug 10 10:36:24 GMT 2022","Wed Aug 10 10:37:19 GMT 2022","55074","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServices",""
"passed","Wed Aug 10 10:36:25 GMT 2022","Wed Aug 10 10:37:33 GMT 2022","68402","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_email",""
"passed","Wed Aug 10 10:36:24 GMT 2022","Wed Aug 10 10:37:36 GMT 2022","71615","tests","test_suite_demo","SignUpTest","","","test_Signup_CreateAccount_Individual",""
"passed","Wed Aug 10 10:36:26 GMT 2022","Wed Aug 10 10:37:38 GMT 2022","72202","tests","test_suite_demo","LoginTest","","","test_Login_Verify_LoginPage",""
"passed","Wed Aug 10 10:36:25 GMT 2022","Wed Aug 10 10:38:27 GMT 2022","121929","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditProfile",""
"broken","Wed Aug 10 10:36:24 GMT 2022","Wed Aug 10 10:37:23 GMT 2022","58925","tests","test_suite_demo","ViewOffersAndAcceptOffer","","","test_view_the_offers_and_accept_the_offer",""
"passed","Wed Aug 10 10:36:26 GMT 2022","Wed Aug 10 10:38:07 GMT 2022","101220","tests","test_suite_demo","SubmitOffer","","","test_submit_the_offer",""
"passed","Wed Aug 10 10:36:27 GMT 2022","Wed Aug 10 10:37:39 GMT 2022","72273","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_Admin_Page",""
