"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","AdminConfiguration","0","1","1","0","0"
"","","KeyCloak","1","3","6","0","0"
"","","Profile","1","2","2","0","0"
"","","Job Management","0","4","1","0","0"
