"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 10:53:11 GMT 2022","Wed Aug 10 10:55:07 GMT 2022","116066","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditListingAndPackages",""
"passed","Wed Aug 10 10:52:05 GMT 2022","Wed Aug 10 10:52:38 GMT 2022","33255","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_InvalidCredentials_VerifyErrorMessage",""
"passed","Wed Aug 10 10:53:01 GMT 2022","Wed Aug 10 10:53:46 GMT 2022","45528","tests","test_suite_demo","SignUpTest","","","test_Signup_Verify_Signup_page",""
"passed","Wed Aug 10 10:53:49 GMT 2022","Wed Aug 10 10:56:46 GMT 2022","177661","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServices",""
"passed","Wed Aug 10 10:52:06 GMT 2022","Wed Aug 10 10:52:39 GMT 2022","33497","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_IndividualAccount",""
"passed","Wed Aug 10 10:53:25 GMT 2022","Wed Aug 10 10:53:45 GMT 2022","20743","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_username",""
"failed","Wed Aug 10 10:52:48 GMT 2022","Wed Aug 10 10:54:16 GMT 2022","87836","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServiceLocation",""
"passed","Wed Aug 10 10:52:06 GMT 2022","Wed Aug 10 10:52:55 GMT 2022","48986","tests","test_suite_demo","LoginTest","","","test_Login_Verify_LoginPage",""
"passed","Wed Aug 10 10:52:59 GMT 2022","Wed Aug 10 10:53:56 GMT 2022","56642","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_with_preferred_date",""
"passed","Wed Aug 10 10:52:46 GMT 2022","Wed Aug 10 10:54:24 GMT 2022","97721","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditSkills",""
"passed","Wed Aug 10 10:52:44 GMT 2022","Wed Aug 10 10:53:15 GMT 2022","30788","tests","test_suite_demo","SignUpTest","","","test_Signup_CreateAccount_Individual",""
"passed","Wed Aug 10 10:53:42 GMT 2022","Wed Aug 10 10:53:59 GMT 2022","17001","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_email",""
"failed","Wed Aug 10 10:52:05 GMT 2022","Wed Aug 10 10:53:44 GMT 2022","98380","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Google",""
"passed","Wed Aug 10 10:52:04 GMT 2022","Wed Aug 10 10:52:39 GMT 2022","34800","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Admin",""
"passed","Wed Aug 10 10:52:07 GMT 2022","Wed Aug 10 10:52:43 GMT 2022","36073","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_BusinessAccount",""
"passed","Wed Aug 10 10:54:23 GMT 2022","Wed Aug 10 10:55:33 GMT 2022","70532","tests","test_suite_demo","ViewOffersAndAcceptOffer","","","test_view_the_offers_and_accept_the_offer",""
"passed","Wed Aug 10 10:52:45 GMT 2022","Wed Aug 10 10:54:19 GMT 2022","93895","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditProfile",""
"passed","Wed Aug 10 10:52:05 GMT 2022","Wed Aug 10 10:52:52 GMT 2022","46741","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_Admin_Page",""
"passed","Wed Aug 10 10:52:07 GMT 2022","Wed Aug 10 10:53:36 GMT 2022","89791","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_and_choose_flyers",""
"passed","Wed Aug 10 10:52:06 GMT 2022","Wed Aug 10 10:53:04 GMT 2022","57953","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_CountrySettings_Pagination",""
"passed","Wed Aug 10 10:52:07 GMT 2022","Wed Aug 10 10:53:18 GMT 2022","71516","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_with_flexible_date",""
"passed","Wed Aug 10 10:53:22 GMT 2022","Wed Aug 10 10:54:25 GMT 2022","63034","tests","test_suite_demo","SubmitOffer","","","test_submit_the_offer",""
