"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 10:46:53 GMT 2022","Thu Aug 11 10:47:30 GMT 2022","37104","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_Admin_Page",""
"passed","Thu Aug 11 10:48:30 GMT 2022","Thu Aug 11 10:51:17 GMT 2022","166395","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServices",""
"passed","Thu Aug 11 10:46:53 GMT 2022","Thu Aug 11 10:47:58 GMT 2022","65402","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_with_flexible_date",""
"failed","Thu Aug 11 10:47:29 GMT 2022","Thu Aug 11 10:48:53 GMT 2022","83873","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditSkills",""
"passed","Thu Aug 11 10:48:57 GMT 2022","Thu Aug 11 10:50:04 GMT 2022","67684","tests","test_suite_demo","ViewOffersAndAcceptOffer","","","test_view_the_offers_and_accept_the_offer",""
"passed","Thu Aug 11 10:47:41 GMT 2022","Thu Aug 11 10:48:11 GMT 2022","29804","tests","test_suite_demo","SignUpTest","","","test_Signup_Verify_Signup_page",""
"passed","Thu Aug 11 10:47:53 GMT 2022","Thu Aug 11 10:49:41 GMT 2022","108749","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditListingAndPackages",""
"passed","Thu Aug 11 10:48:14 GMT 2022","Thu Aug 11 10:48:25 GMT 2022","11125","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_email",""
"passed","Thu Aug 11 10:47:35 GMT 2022","Thu Aug 11 10:48:25 GMT 2022","50017","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_with_preferred_date",""
"passed","Thu Aug 11 10:46:52 GMT 2022","Thu Aug 11 10:47:25 GMT 2022","32352","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Admin",""
"passed","Thu Aug 11 10:46:52 GMT 2022","Thu Aug 11 10:47:24 GMT 2022","31837","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_IndividualAccount",""
"failed","Thu Aug 11 10:47:30 GMT 2022","Thu Aug 11 10:48:51 GMT 2022","81751","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditProfile",""
"passed","Thu Aug 11 10:48:02 GMT 2022","Thu Aug 11 10:48:17 GMT 2022","14764","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_username",""
"passed","Thu Aug 11 10:47:29 GMT 2022","Thu Aug 11 10:47:58 GMT 2022","29270","tests","test_suite_demo","SignUpTest","","","test_Signup_CreateAccount_Individual",""
"failed","Thu Aug 11 10:47:32 GMT 2022","Thu Aug 11 10:48:54 GMT 2022","81343","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServiceLocation",""
"passed","Thu Aug 11 10:46:52 GMT 2022","Thu Aug 11 10:47:35 GMT 2022","43277","tests","test_suite_demo","LoginTest","","","test_Login_Verify_LoginPage",""
"passed","Thu Aug 11 10:46:52 GMT 2022","Thu Aug 11 10:47:23 GMT 2022","31700","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_InvalidCredentials_VerifyErrorMessage",""
"passed","Thu Aug 11 10:46:53 GMT 2022","Thu Aug 11 10:47:26 GMT 2022","33503","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_BusinessAccount",""
"passed","Thu Aug 11 10:46:52 GMT 2022","Thu Aug 11 10:48:10 GMT 2022","77994","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_and_choose_flyers",""
"failed","Thu Aug 11 10:46:53 GMT 2022","Thu Aug 11 10:48:27 GMT 2022","94373","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Google",""
"passed","Thu Aug 11 10:48:03 GMT 2022","Thu Aug 11 10:48:55 GMT 2022","52392","tests","test_suite_demo","SubmitOffer","","","test_submit_the_offer",""
"passed","Thu Aug 11 10:46:51 GMT 2022","Thu Aug 11 10:47:47 GMT 2022","55870","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_CountrySettings_Pagination",""
