"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Job Management","5","0","0","0","0"
"","","KeyCloak","10","0","0","0","0"
"","","Profile","5","0","0","0","0"
"","","AdminConfiguration","2","0","0","0","0"
