"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 10:46:31 GMT 2022","Thu Aug 11 10:46:43 GMT 2022","11572","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_email",""
"passed","Thu Aug 11 10:45:48 GMT 2022","Thu Aug 11 10:47:11 GMT 2022","82598","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditSkills",""
"passed","Thu Aug 11 10:46:49 GMT 2022","Thu Aug 11 10:49:14 GMT 2022","144936","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServices",""
"passed","Thu Aug 11 10:45:55 GMT 2022","Thu Aug 11 10:46:23 GMT 2022","27842","tests","test_suite_demo","SignUpTest","","","test_Signup_Verify_Signup_page",""
"passed","Thu Aug 11 10:45:16 GMT 2022","Thu Aug 11 10:46:27 GMT 2022","71381","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_and_choose_flyers",""
"failed","Thu Aug 11 10:45:16 GMT 2022","Thu Aug 11 10:46:45 GMT 2022","88709","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Google",""
"passed","Thu Aug 11 10:46:17 GMT 2022","Thu Aug 11 10:46:32 GMT 2022","14854","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_username",""
"passed","Thu Aug 11 10:45:15 GMT 2022","Thu Aug 11 10:45:44 GMT 2022","28581","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_IndividualAccount",""
"passed","Thu Aug 11 10:45:52 GMT 2022","Thu Aug 11 10:46:37 GMT 2022","44730","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_with_preferred_date",""
"passed","Thu Aug 11 10:45:13 GMT 2022","Thu Aug 11 10:45:44 GMT 2022","31087","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_BusinessAccount",""
"passed","Thu Aug 11 10:45:16 GMT 2022","Thu Aug 11 10:45:42 GMT 2022","25352","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_InvalidCredentials_VerifyErrorMessage",""
"passed","Thu Aug 11 10:45:13 GMT 2022","Thu Aug 11 10:45:50 GMT 2022","36317","tests","test_suite_demo","LoginTest","","","test_Login_Verify_LoginPage",""
"passed","Thu Aug 11 10:46:16 GMT 2022","Thu Aug 11 10:47:29 GMT 2022","73763","tests","test_suite_demo","ViewOffersAndAcceptOffer","","","test_view_the_offers_and_accept_the_offer",""
"passed","Thu Aug 11 10:45:16 GMT 2022","Thu Aug 11 10:45:47 GMT 2022","31133","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_Admin_Page",""
"passed","Thu Aug 11 10:45:16 GMT 2022","Thu Aug 11 10:45:40 GMT 2022","24443","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Admin",""
"passed","Thu Aug 11 10:47:10 GMT 2022","Thu Aug 11 10:47:59 GMT 2022","49251","tests","test_suite_demo","SubmitOffer","","","test_submit_the_offer",""
"failed","Thu Aug 11 10:45:50 GMT 2022","Thu Aug 11 10:46:26 GMT 2022","36210","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServiceLocation",""
"passed","Thu Aug 11 10:45:13 GMT 2022","Thu Aug 11 10:46:12 GMT 2022","58956","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_with_flexible_date",""
"passed","Thu Aug 11 10:46:05 GMT 2022","Thu Aug 11 10:47:53 GMT 2022","107995","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditListingAndPackages",""
"passed","Thu Aug 11 10:45:47 GMT 2022","Thu Aug 11 10:46:10 GMT 2022","22399","tests","test_suite_demo","SignUpTest","","","test_Signup_CreateAccount_Individual",""
"passed","Thu Aug 11 10:45:14 GMT 2022","Thu Aug 11 10:46:00 GMT 2022","46662","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_CountrySettings_Pagination",""
"passed","Thu Aug 11 10:45:46 GMT 2022","Thu Aug 11 10:47:07 GMT 2022","81153","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditProfile",""
